Number,Name,Type 1,Type 2,Abilities,HP,Att,Def,Spa,Spd,Spe,BST,Mean,Standard Deviation,Generation,Experience type,Experience to level 100,Final Evolution,Catch Rate,Legendary,Mega Evolution,Alolan Form,Galarian Form,Against Normal,Against Fire,Against Water,Against Electric,Against Grass,Against Ice,Against Fighting,Against Poison,Against Ground,Against Flying,Against Psychic,Against Bug,Against Rock,Against Ghost,Against Dragon,Against Dark,Against Steel,Against Fairy,Height,Weight,BMI
1,Bulbasaur,풀,독,"['Chlorophyll', 'Overgrow']",45,49,49,65,65,45,318,53.0,8.640987597877146,1.0,Medium Slow,1059860,0.0,45,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.7,6.9,14.1
2,Ivysaur,풀,독,"['Chlorophyll', 'Overgrow']",60,62,63,80,80,60,405,67.5,8.902246907382429,1.0,Medium Slow,1059860,0.0,45,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,13.0,13.0
3,Venusaur,풀,독,"['Chlorophyll', 'Overgrow']",80,82,83,100,100,80,525,87.5,8.902246907382429,1.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,100.0,25.0
3,Mega Venusaur,풀,독,['Thick Fat'],80,100,123,122,120,80,625,104.16666666666669,18.747592438023133,6.0,Medium Slow,1059860,1.0,45,0.0,1.0,0.0,0.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.4,155.5,27.0
4,Charmander,불꽃,,"['Blaze', 'Solar Power']",39,52,43,60,50,65,309,51.5,8.995369179009089,1.0,Medium Slow,1059860,0.0,45,0.0,0.0,0.0,0.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0.6,8.5,23.6
5,Charmeleon,불꽃,,"['Blaze', 'Solar Power']",58,64,58,80,65,80,405,67.5,9.233092656309694,1.0,Medium Slow,1059860,0.0,45,0.0,0.0,0.0,0.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,1.1,19.0,15.7
6,Charizard,불꽃,비행,"['Blaze', 'Solar Power']",78,84,78,109,85,100,534,89.0,11.575836902790224,1.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,1.7,90.5,31.3
6,Mega Charizard Y,불꽃,비행,['Drought'],78,104,78,159,115,100,634,105.66666666666669,27.378012264508094,6.0,Medium Slow,1059860,1.0,45,0.0,1.0,0.0,0.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,1.7,100.5,34.8
6,Mega Charizard X,불꽃,드래곤,['Tough Claws'],78,130,111,130,85,100,634,105.66666666666669,20.154955277107963,6.0,Medium Slow,1059860,1.0,45,0.0,1.0,0.0,0.0,1.0,0.25,1.0,0.5,0.25,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.7,110.5,38.2
7,Squirtle,물,,"['Rain Dish', 'Torrent']",44,48,65,50,64,43,314,52.333333333333336,8.919392106839767,1.0,Medium Slow,1059860,0.0,45,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,9.0,36.0
8,Wartortle,물,,"['Rain Dish', 'Torrent']",59,63,80,65,80,58,405,67.5,9.142392101268316,1.0,Medium Slow,1059860,0.0,45,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,22.5,22.5
9,Blastoise,물,,"['Rain Dish', 'Torrent']",79,83,100,85,105,78,530,88.33333333333333,10.386957633921922,1.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.6,85.5,33.4
9,Mega Blastoise,물,,['Mega Launcher'],79,103,120,135,115,78,630,105.0,20.952326839756964,6.0,Medium Slow,1059860,1.0,45,0.0,1.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.6,101.1,39.5
